,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
32,2015,1,Aguascalientes,1001,Aguascalientes,Abuso sexual,5,4,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
130,2015,1,Aguascalientes,1002,Asientos,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2015,1,Aguascalientes,1003,Calvillo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,2015,1,Aguascalientes,1004,Cosío,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,2015,1,Aguascalientes,1005,Jesús María,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
522,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,2015,1,Aguascalientes,1007,Rincón de Romos,Abuso sexual,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,2015,1,Aguascalientes,1008,San José de Gracia,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,2015,1,Aguascalientes,1009,Tepezalá,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,2015,1,Aguascalientes,1010,El Llano,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1012,2015,1,Aguascalientes,1011,San Francisco de los Romo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1110,2015,2,Baja California,2001,Ensenada,Abuso sexual,19,9,24.0,21.0,26.0,35.0,21.0,28.0,27.0,27.0,17.0,20.0
1208,2015,2,Baja California,2002,Mexicali,Abuso sexual,26,20,35.0,28.0,19.0,32.0,16.0,24.0,26.0,16.0,18.0,18.0
1306,2015,2,Baja California,2003,Tecate,Abuso sexual,3,4,5.0,3.0,9.0,4.0,3.0,4.0,3.0,7.0,3.0,2.0
1404,2015,2,Baja California,2004,Tijuana,Abuso sexual,38,42,54.0,49.0,62.0,56.0,60.0,52.0,60.0,50.0,51.0,35.0
1502,2015,2,Baja California,2005,Playas de Rosarito,Abuso sexual,1,2,4.0,4.0,3.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0
1600,2015,3,Baja California Sur,3001,Comondú,Abuso sexual,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0
1698,2015,3,Baja California Sur,3002,Mulegé,Abuso sexual,0,0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0
1796,2015,3,Baja California Sur,3003,La Paz,Abuso sexual,0,0,0.0,7.0,3.0,4.0,5.0,8.0,5.0,7.0,8.0,2.0
1894,2015,3,Baja California Sur,3008,Los Cabos,Abuso sexual,0,0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,3.0,2.0
1992,2015,3,Baja California Sur,3009,Loreto,Abuso sexual,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2090,2015,4,Campeche,4001,Calkiní,Abuso sexual,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,2015,4,Campeche,4002,Campeche,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2286,2015,4,Campeche,4003,Carmen,Abuso sexual,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2384,2015,4,Campeche,4004,Champotón,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2482,2015,4,Campeche,4005,Hecelchakán,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2580,2015,4,Campeche,4006,Hopelchén,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2678,2015,4,Campeche,4007,Palizada,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2776,2015,4,Campeche,4008,Tenabo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2874,2015,4,Campeche,4009,Escárcega,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2972,2015,4,Campeche,4010,Calakmul,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3070,2015,4,Campeche,4011,Candelaria,Abuso sexual,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3168,2015,5,Coahuila de Zaragoza,5001,Abasolo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3266,2015,5,Coahuila de Zaragoza,5002,Acuña,Abuso sexual,2,5,6.0,4.0,4.0,7.0,5.0,6.0,9.0,6.0,3.0,4.0
3364,2015,5,Coahuila de Zaragoza,5003,Allende,Abuso sexual,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3462,2015,5,Coahuila de Zaragoza,5004,Arteaga,Abuso sexual,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3560,2015,5,Coahuila de Zaragoza,5005,Candela,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3658,2015,5,Coahuila de Zaragoza,5006,Castaños,Abuso sexual,1,0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0
3756,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3854,2015,5,Coahuila de Zaragoza,5008,Escobedo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3952,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Abuso sexual,0,1,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
4050,2015,5,Coahuila de Zaragoza,5010,Frontera,Abuso sexual,0,0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0
4148,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4246,2015,5,Coahuila de Zaragoza,5012,Guerrero,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4344,2015,5,Coahuila de Zaragoza,5013,Hidalgo,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4442,2015,5,Coahuila de Zaragoza,5014,Jiménez,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4540,2015,5,Coahuila de Zaragoza,5015,Juárez,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4638,2015,5,Coahuila de Zaragoza,5016,Lamadrid,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4736,2015,5,Coahuila de Zaragoza,5017,Matamoros,Abuso sexual,0,0,1.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0
4834,2015,5,Coahuila de Zaragoza,5018,Monclova,Abuso sexual,2,1,4.0,3.0,3.0,7.0,2.0,0.0,2.0,4.0,2.0,1.0
4932,2015,5,Coahuila de Zaragoza,5019,Morelos,Abuso sexual,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5030,2015,5,Coahuila de Zaragoza,5020,Múzquiz,Abuso sexual,3,1,5.0,2.0,1.0,0.0,1.0,1.0,2.0,4.0,3.0,0.0
5128,2015,5,Coahuila de Zaragoza,5021,Nadadores,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5226,2015,5,Coahuila de Zaragoza,5022,Nava,Abuso sexual,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
5324,2015,5,Coahuila de Zaragoza,5023,Ocampo,Abuso sexual,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5422,2015,5,Coahuila de Zaragoza,5024,Parras,Abuso sexual,0,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5520,2015,5,Coahuila de Zaragoza,5025,Piedras Negras,Abuso sexual,3,1,2.0,1.0,2.0,3.0,7.0,4.0,6.0,4.0,6.0,0.0
5618,2015,5,Coahuila de Zaragoza,5026,Progreso,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5716,2015,5,Coahuila de Zaragoza,5027,Ramos Arizpe,Abuso sexual,0,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
5814,2015,5,Coahuila de Zaragoza,5028,Sabinas,Abuso sexual,0,1,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
5912,2015,5,Coahuila de Zaragoza,5029,Sacramento,Abuso sexual,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6010,2015,5,Coahuila de Zaragoza,5030,Saltillo,Abuso sexual,4,5,1.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0
6108,2015,5,Coahuila de Zaragoza,5031,San Buenaventura,Abuso sexual,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
6206,2015,5,Coahuila de Zaragoza,5032,San Juan de Sabinas,Abuso sexual,0,0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
6304,2015,5,Coahuila de Zaragoza,5033,San Pedro,Abuso sexual,2,3,3.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0
6402,2015,5,Coahuila de Zaragoza,5034,Sierra Mojada,Abuso sexual,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500,2015,5,Coahuila de Zaragoza,5035,Torreón,Abuso sexual,1,3,0.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,13.0
6598,2015,5,Coahuila de Zaragoza,5036,Viesca,Abuso sexual,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6696,2015,5,Coahuila de Zaragoza,5037,Villa Unión,Abuso sexual,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
